identifier,preflabel,altLabel,deprecated,uri
SDN:P06::BQSM,Becquerels per square metre,Bq/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/BQSM/
SDN:P06::BSM3,Becquerels second per cubic metre,Bq.s/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/BSM3/
SDN:P06::KMP2,Kilograms per square metre,kg/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/KMP2/
SDN:P06::UKMC,Kilograms per cubic metre,kg/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/UKMC/
SDN:P06::UUUU,Dimensionless,Dmnless,false,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
SDN:P06::KMPS,Kilograms per metre per second,kg/m/s,false,http://vocab.nerc.ac.uk/collection/P06/current/KMPS/
SDN:P06::BQM3,Becquerels per cubic metre,Bq/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/BQM3/
SDN:P06::MOLE,Moles,mol,false,http://vocab.nerc.ac.uk/collection/P06/current/MOLE/
SDN:P06::DEGE,Degrees east,degree_east,false,http://vocab.nerc.ac.uk/collection/P06/current/DEGE/
SDN:P06::ULAA,Metres,m,false,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
SDN:P06::CMPS,Cubic metres per second,m^3/s,false,http://vocab.nerc.ac.uk/collection/P06/current/CMPS/
SDN:P06::KSP2,Kilograms per square metre per second,kg/m^2/s,false,http://vocab.nerc.ac.uk/collection/P06/current/KSP2/
SDN:P06::PRSC,per second,/s,false,http://vocab.nerc.ac.uk/collection/P06/current/PRSC/
SDN:P06::MPS2,Metres per second squared,m/s^2,false,http://vocab.nerc.ac.uk/collection/P06/current/MPS2/
SDN:P06::UFAA,Watts per square metre,W/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/UFAA/
SDN:P06::PASX,Pascals,Pa,false,http://vocab.nerc.ac.uk/collection/P06/current/PASX/
SDN:P06::UTAA,Days,d,false,http://vocab.nerc.ac.uk/collection/P06/current/UTAA/
SDN:P06::PCUM,per cubic metre,/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
SDN:P06::UPKA,Kelvins,K,false,http://vocab.nerc.ac.uk/collection/P06/current/UPKA/
SDN:P06::KGPS,Kilogram per second,kg/s,false,http://vocab.nerc.ac.uk/collection/P06/current/KGPS/
SDN:P06::KSP3,Kilograms per cubic metre per second,kg/m^3/s,false,http://vocab.nerc.ac.uk/collection/P06/current/KSP3/
SDN:P06::M2S2,per square metre per second,/m^2/s,false,http://vocab.nerc.ac.uk/collection/P06/current/M2S2/
SDN:P06::M2MS,Moles per square metre per second,mol/m^2/s,false,http://vocab.nerc.ac.uk/collection/P06/current/M2MS/
SDN:P06::MLPS,Moles per second,mol/s,false,http://vocab.nerc.ac.uk/collection/P06/current/MLPS/
SDN:P06::SQM2,Square metres per second squared,m^2/s^2,false,http://vocab.nerc.ac.uk/collection/P06/current/SQM2/
SDN:P06::XXXX,Not applicable,NA,false,http://vocab.nerc.ac.uk/collection/P06/current/XXXX/
SDN:P06::UPRM,per metre,/m,false,http://vocab.nerc.ac.uk/collection/P06/current/UPRM/
SDN:P06::MLM3,Moles per cubic metre,mol/m^3,false,http://vocab.nerc.ac.uk/collection/P06/current/MLM3/
SDN:P06::PAPS,Pascals per second,Pa/s,false,http://vocab.nerc.ac.uk/collection/P06/current/PAPS/
SDN:P06::KMTS,Kelvin metres per second,K.m/s,false,http://vocab.nerc.ac.uk/collection/P06/current/KMTS/
SDN:P06::MPYR,Metres per year,m/yr,false,http://vocab.nerc.ac.uk/collection/P06/current/MPYR/
SDN:P06::WMSS,Watts per square metre per steradian,W/m^2/sr,false,http://vocab.nerc.ac.uk/collection/P06/current/WMSS/
SDN:P06::UVAA,Metres per second,m/s,false,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
SDN:P06::SQMS,Square metres per second,m^2/s,false,http://vocab.nerc.ac.uk/collection/P06/current/SQMS/
SDN:P06::UPDB,Decibars,dbar,false,http://vocab.nerc.ac.uk/collection/P06/current/UPDB/
SDN:P06::UNSM,Newtons per square metre,N/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/UNSM/
SDN:P06::PSTR,per steradian,/sr,false,http://vocab.nerc.ac.uk/collection/P06/current/PSTR/
SDN:P06::KPRS,Kelvin per second,K/s,false,http://vocab.nerc.ac.uk/collection/P06/current/KPRS/
SDN:P06::UAAA,Degrees,deg,false,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/
SDN:P06::UTHZ,Hertz,Hz,false,http://vocab.nerc.ac.uk/collection/P06/current/UTHZ/
SDN:P06::UMSQ,Square metres,m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
SDN:P06::UTBB,Seconds,s,false,http://vocab.nerc.ac.uk/collection/P06/current/UTBB/
SDN:P06::KGVM,Kilograms per cubic metre per metre,kg/m^3/m,false,http://vocab.nerc.ac.uk/collection/P06/current/KGVM/
SDN:P06::MM3S,Moles per cubic metre per second,mol/m^3/s,false,http://vocab.nerc.ac.uk/collection/P06/current/MM3S/
SDN:P06::M3SR,Moles per square metre per second per steradian,mol/m^2/s/sr,false,http://vocab.nerc.ac.uk/collection/P06/current/M3SR/
SDN:P06::PMSR,per metre per steradian,/m/sr,false,http://vocab.nerc.ac.uk/collection/P06/current/PMSR/
SDN:P06::WATT,Watts,W,false,http://vocab.nerc.ac.uk/collection/P06/current/WATT/
SDN:P06::WM2S,Watts per square metre per metre per steradian,W/m^2/m/sr,false,http://vocab.nerc.ac.uk/collection/P06/current/WM2S/
SDN:P06::UGKG,Grams per kilogram,g/kg,false,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/
SDN:P06::UGMS,Grams per square metre,g/m^2,false,http://vocab.nerc.ac.uk/collection/P06/current/UGMS/
